RecordKey	RecordDate	InvoiceID	Quantity	UnitPrice	TaxRate	TaxAmount	LineProfit	ExtendedPrice	TotalDryItems	TotalChillerItems	Package	Description	ValidFrom	ValidTo
10009:RC toy sedan car with remote control (Yellow) 1/50 scale	10/07/2013 00:00	10009	3	25	15	11.25	37.5	86.25	3	0	Each	RC toy sedan car with remote control (Yellow) 1/50 scale		
10009:USB food flash drive - dim sum 10 drive variety pack	10/07/2013 00:00	10009	1	240	15	36	151.5	276	1	0	Packet	USB food flash drive - dim sum 10 drive variety pack		
10010:Black and orange glass with care despatch tape  48mmx100m	10/07/2013 00:00	10010	120	4.1	15	73.8	252	565.8	120	0	Each	Black and orange glass with care despatch tape  48mmx100m		
10010:Furry gorilla with big eyes slippers (Black) XL	10/07/2013 00:00	10010	1	32	15	4.8	23.5	36.8	1	0	Each	Furry gorilla with big eyes slippers (Black) XL		
10010:Ride on toy sedan car (Red) 1/12 scale	10/07/2013 00:00	10010	10	230	15	345	850	2645	10	0	Each	Ride on toy sedan car (Red) 1/12 scale		
10011:Pack of 12 action figures (variety)	10/07/2013 00:00	10011	5	16	15	12	52.5	92	5	0	Packet	Pack of 12 action figures (variety)		
"10012:""The Gu"" red shirt XML tag t-shirt (Black) 6XL"	10/07/2013 00:00	10012	72	18	15	194.4	720	1490.4	72	0	Each	"""The Gu"" red shirt XML tag t-shirt (Black) 6XL"		
10012:Alien officer hoodie (Black) 3XL	10/07/2013 00:00	10012	1	35	15	5.25	18	40.25	1	0	Each	Alien officer hoodie (Black) 3XL		
10012:Ride on big wheel monster truck (Black) 1/12 scale	10/07/2013 00:00	10012	6	345	15	310.5	840	2380.5	6	0	Each	Ride on big wheel monster truck (Black) 1/12 scale		
10013:Alien officer hoodie (Black) 5XL	10/07/2013 00:00	10013	2	35	15	10.5	36	80.5	2	0	Each	Alien officer hoodie (Black) 5XL		
10013:Large sized bubblewrap roll 50m	10/07/2013 00:00	10013	20	24	15	72	220	552	20	0	Each	Large sized bubblewrap roll 50m		
10013:Medium sized bubblewrap roll 20m	10/07/2013 00:00	10013	90	20	15	270	900	2070	90	0	Each	Medium sized bubblewrap roll 20m		
10014:Furry animal socks (Pink) S	10/07/2013 00:00	10014	48	5	15	36	168	276	48	0	Pair	Furry animal socks (Pink) S		
10014:Halloween skull mask (Gray) S	10/07/2013 00:00	10014	36	18	15	97.2	108	745.2	36	0	Each	Halloween skull mask (Gray) S		
10014:Ride on vintage American toy coupe (Black) 1/12 scale	10/07/2013 00:00	10014	2	285	15	85.5	260	655.5	2	0	Each	Ride on vintage American toy coupe (Black) 1/12 scale		
10014:Superhero action jacket (Blue) M	10/07/2013 00:00	10014	9	30	15	40.5	72	310.5	9	0	Each	Superhero action jacket (Blue) M		
10015:Developer joke mug - fun was unexpected at this time (Black)	10/07/2013 00:00	10015	8	13	15	15.6	68	119.6	8	0	Each	Developer joke cup - fun was unexpected at this time (Black)		
10015:USB food flash drive - banana	10/07/2013 00:00	10015	1	32	15	4.8	20	36.8	1	0	Each	USB food flash drive - banana		
10015:USB food flash drive - pizza slice	10/07/2013 00:00	10015	8	32	15	38.4	160	294.4	8	0	Each	USB food flash drive - pizza slice		
10016:Developer joke mug - a foo walks into a bar (White)	10/07/2013 00:00	10016	5	13	15	9.75	42.5	74.75	5	0	Each	Developer joke cup - a foo walks into a bar (White)		
10016:Packing knife with metal insert blade (Yellow) 9mm	10/07/2013 00:00	10016	10	1.89	15	2.84	9.9	21.74	10	0	Each	Packing knife with metal insert blade (Yellow) 9mm		
"10017:""The Gu"" red shirt XML tag t-shirt (Black) 3XL"	10/07/2013 00:00	10017	84	18	15	226.8	840	1738.8	84	0	Each	"""The Gu"" red shirt XML tag t-shirt (Black) 3XL"		
10017:USB food flash drive - donut	10/07/2013 00:00	10017	2	32	15	9.6	40	73.6	2	0	Each	USB food flash drive - donut		
10018:DBA joke mug - I will get you in order (Black)	10/07/2013 00:00	10018	8	13	15	15.6	68	119.6	8	0	Each	DBA joke cup - I will get you in order (Black)		
10018:Shipping carton (Brown) 356x229x229mm	10/07/2013 00:00	10018	50	1.14	15	8.55	29	65.55	50	0	Each	Shipping carton (Brown) 356x229x229mm		
10018:USB missile launcher (Green)	10/07/2013 00:00	10018	8	25	15	30	124	230	8	0	Each	USB missile launcher (Green)		
10019:Air cushion machine (Blue)	10/07/2013 00:00	10019	5	1899	15	1424.25	3795	10919.25	5	0	Each	Air cushion machine (Blue)		
10019:DBA joke mug - daaaaaa-ta (Black)	10/07/2013 00:00	10019	8	13	15	15.6	68	119.6	8	0	Each	DBA joke cup - daaaaaa-ta (Black)		
10019:DBA joke mug - you might be a DBA if (Black)	10/07/2013 00:00	10019	5	13	15	9.75	42.5	74.75	5	0	Each	DBA joke cup - you might be a DBA if (Black)		
10019:RC toy sedan car with remote control (Black) 1/50 scale	10/07/2013 00:00	10019	8	25	15	30	100	230	8	0	Each	RC toy sedan car with remote control (Black) 1/50 scale		
10019:Ride on toy sedan car (Yellow) 1/12 scale	10/07/2013 00:00	10019	9	230	15	310.5	765	2380.5	9	0	Each	Ride on toy sedan car (Yellow) 1/12 scale		
10020:Developer joke mug - that's a hardware problem (Black)	10/07/2013 00:00	10020	3	13	15	5.85	25.5	44.85	3	0	Each	Developer joke cup - that's a hardware problem (Black)		
10020:Ride on toy sedan car (Pink) 1/12 scale	10/07/2013 00:00	10020	3	230	15	103.5	255	793.5	3	0	Each	Ride on toy sedan car (Pink) 1/12 scale		
10020:Superhero action jacket (Blue) M	10/07/2013 00:00	10020	10	30	15	45	80	345	10	0	Each	Superhero action jacket (Blue) M		
10021:20 mm Double sided bubble wrap 50m	10/07/2013 00:00	10021	20	108	15	324	1840	2484	20	0	Each	20 mm Double sided bubble wrap 50m		
10021:Animal with big feet slippers (Brown) L	10/07/2013 00:00	10021	8	32	15	38.4	192	294.4	8	0	Each	Animal with big feet slippers (Brown) L		
10021:Black and orange this way up despatch tape  48mmx100m	10/07/2013 00:00	10021	96	4.1	15	59.04	206.4	452.64	96	0	Each	Black and orange this way up despatch tape  48mmx100m		
10021:IT joke mug - keyboard not found … press F1 to continue (White)	10/07/2013 00:00	10021	10	13	15	19.5	85	149.5	10	0	Each	IT joke cup - keyboard not found … press F1 to continue (White)		
10022:Alien officer hoodie (Black) 4XL	10/07/2013 00:00	10022	1	35	15	5.25	18	40.25	1	0	Each	Alien officer hoodie (Black) 4XL		
10022:Developer joke mug - inheritance is the OO way to become wealthy (White)	10/07/2013 00:00	10022	10	13	15	19.5	85	149.5	10	0	Each	Developer joke cup - inheritance is the OO way to become wealthy (White)		
10022:IT joke mug - that behavior is by design (White)	10/07/2013 00:00	10022	1	13	15	1.95	8.5	14.95	1	0	Each	IT joke cup - that behavior is by design (White)		
10022:Red and white urgent  heavy despatch tape  48mmx100m	10/07/2013 00:00	10022	144	4.1	15	88.56	295.2	678.96	144	0	Each	Red and white urgent  heavy despatch tape  48mmx100m		
10022:Ride on toy sedan car (Blue) 1/12 scale	10/07/2013 00:00	10022	8	230	15	276	680	2116	8	0	Each	Ride on toy sedan car (Blue) 1/12 scale		
10023:Bubblewrap dispenser (Blue) 1.5m	10/07/2013 00:00	10023	5	240	15	180	650	1380	5	0	Each	Bubblewrap dispenser (Blue) 1.5m		
10023:Developer joke mug - Oct 31 = Dec 25 (White)	10/07/2013 00:00	10023	7	13	15	13.65	59.5	104.65	7	0	Each	Developer joke cup - Oct 31 = Dec 25 (White)		
"10024:""The Gu"" red shirt XML tag t-shirt (White) M"	11/07/2013 00:00	10024	84	18	15	226.8	924	1738.8	84	0	Each	"""The Gu"" red shirt XML tag t-shirt (White) M"		
10025:Black and orange glass with care despatch tape 48mmx75m	11/07/2013 00:00	10025	144	3.7	15	79.92	302.4	612.72	144	0	Each	Black and orange glass with care despatch tape 48mmx75m		
"10026:""The Gu"" red shirt XML tag t-shirt (Black) XL"	11/07/2013 00:00	10026	60	18	15	162	630	1242	60	0	Each	"""The Gu"" red shirt XML tag t-shirt (Black) XL"		
"10027:""The Gu"" red shirt XML tag t-shirt (Black) 4XL"	11/07/2013 00:00	10027	12	18	15	32.4	120	248.4	12	0	Each	"""The Gu"" red shirt XML tag t-shirt (Black) 4XL"		
"10028:""The Gu"" red shirt XML tag t-shirt (Black) 4XL"	11/07/2013 00:00	10028	12	18	15	32.4	120	248.4	12	0	Each	"""The Gu"" red shirt XML tag t-shirt (Black) 4XL"		
10029:Black and orange this way up despatch tape 48mmx75m	11/07/2013 00:00	10029	48	3.7	15	26.64	96	204.24	48	0	Each	Black and orange this way up despatch tape 48mmx75m		
10029:RC big wheel monster truck with remote control (Black) 1/50 scale	11/07/2013 00:00	10029	5	45	15	33.75	147.5	258.75	5	0	Each	RC big wheel monster truck with remote control (Black) 1/50 scale		
10029:Superhero action jacket (Blue) XL	11/07/2013 00:00	10029	1	30	15	4.5	8	34.5	1	0	Each	Superhero action jacket (Blue) XL		
10030:DBA joke mug - you might be a DBA if (Black)	11/07/2013 00:00	10030	2	13	15	3.9	17	29.9	2	0	Each	DBA joke cup - you might be a DBA if (Black)		
"10030:Developer joke mug - (hip, hip, array) (Black)"	11/07/2013 00:00	10030	1	13	15	1.95	8.5	14.95	1	0	Each	"Developer joke cup - (hip, hip, array) (Black)"		
10030:Developer joke mug - this code was generated by a tool (White)	11/07/2013 00:00	10030	7	13	15	13.65	59.5	104.65	7	0	Each	Developer joke cup - this code was generated by a tool (White)		
10030:Ride on big wheel monster truck (Black) 1/12 scale	11/07/2013 00:00	10030	10	345	15	517.5	1400	3967.5	10	0	Each	Ride on big wheel monster truck (Black) 1/12 scale		
10030:USB food flash drive - chocolate bar	11/07/2013 00:00	10030	1	32	15	4.8	20	36.8	1	0	Each	USB food flash drive - chocolate bar		
"9001:""The Gu"" red shirt XML tag t-shirt (White) XXL"	24/06/2013 00:00	9001	108	18	15	291.6	1134	2235.6	108	0	Each	"""The Gu"" red shirt XML tag t-shirt (White) XXL"		
9001:Furry animal socks (Pink) M	24/06/2013 00:00	9001	72	5	15	54	252	414	72	0	Pair	Furry animal socks (Pink) M		
"9002:""The Gu"" red shirt XML tag t-shirt (White) XL"	24/06/2013 00:00	9002	108	18	15	291.6	1134	2235.6	108	0	Each	"""The Gu"" red shirt XML tag t-shirt (White) XL"		
9002:Developer joke mug - there are 10 types of people in the world (Black)	24/06/2013 00:00	9002	4	13	15	7.8	34	59.8	4	0	Each	Developer joke cup - there are 10 types of people in the world (Black)		
9002:Dinosaur battery-powered slippers (Green) S	24/06/2013 00:00	9002	2	32	15	9.6	48	73.6	2	0	Each	Dinosaur battery-powered slippers (Green) S		
9002:Superhero action jacket (Blue) XXL	24/06/2013 00:00	9002	1	30	15	4.5	8	34.5	1	0	Each	Superhero action jacket (Blue) XXL		
9003:Air cushion film 200mmx100mm 325m	24/06/2013 00:00	9003	10	87	15	130.5	520	1000.5	10	0	Each	Air cushion film 200mmx100mm 325m		
9003:Ride on toy sedan car (Red) 1/12 scale	24/06/2013 00:00	9003	10	230	15	345	850	2645	10	0	Each	Ride on toy sedan car (Red) 1/12 scale		
9003:Shipping carton (Brown) 279x254x217mm	24/06/2013 00:00	9003	100	1.11	15	16.65	51	127.65	100	0	Each	Shipping carton (Brown) 279x254x217mm		
9004:32 mm Anti static bubble wrap (Blue) 50m	24/06/2013 00:00	9004	20	105	15	315	1160	2415	20	0	Each	32 mm Anti static bubble wrap (Blue) 50m		
9004:RC toy sedan car with remote control (Black) 1/50 scale	24/06/2013 00:00	9004	6	25	15	22.5	75	172.5	6	0	Each	RC toy sedan car with remote control (Black) 1/50 scale		
9005:DBA joke mug - daaaaaa-ta (White)	24/06/2013 00:00	9005	7	13	15	13.65	59.5	104.65	7	0	Each	DBA joke cup - daaaaaa-ta (White)		
9005:Developer joke mug - fun was unexpected at this time (White)	24/06/2013 00:00	9005	3	13	15	5.85	25.5	44.85	3	0	Each	Developer joke cup - fun was unexpected at this time (White)		
9005:Shipping carton (Brown) 279x254x217mm	24/06/2013 00:00	9005	125	1.11	15	20.81	63.75	159.56	125	0	Each	Shipping carton (Brown) 279x254x217mm		
"9006:""The Gu"" red shirt XML tag t-shirt (White) XXL"	24/06/2013 00:00	9006	12	18	15	32.4	126	248.4	12	0	Each	"""The Gu"" red shirt XML tag t-shirt (White) XXL"		
9006:20 mm Anti static bubble wrap (Blue) 50m	24/06/2013 00:00	9006	70	102	15	1071	3290	8211	70	0	Each	20 mm Anti static bubble wrap (Blue) 50m		
9006:3 kg Courier post bag (White) 300x190x95mm	24/06/2013 00:00	9006	175	0.66	15	17.33	52.5	132.83	175	0	Each	3 kg Courier post bag (White) 300x190x95mm		
9006:DBA joke mug - SELECT caffeine FROM mug (White)	24/06/2013 00:00	9006	4	13	15	7.8	34	59.8	4	0	Each	DBA joke cup - SELECT caffeine FROM cup (White)		
9006:Permanent marker red 5mm nib (Red) 5mm	24/06/2013 00:00	9006	108	2.7	15	43.74	108	335.34	108	0	Each	Permanent marker red 5mm nib (Red) 5mm		
9007:32 mm Anti static bubble wrap (Blue) 50m	24/06/2013 00:00	9007	20	105	15	315	1160	2415	20	0	Each	32 mm Anti static bubble wrap (Blue) 50m		
9007:DBA joke mug - SELECT caffeine FROM mug (White)	24/06/2013 00:00	9007	4	13	15	7.8	34	59.8	4	0	Each	DBA joke cup - SELECT caffeine FROM cup (White)		
9007:Furry gorilla with big eyes slippers (Black) XL	24/06/2013 00:00	9007	10	32	15	48	235	368	10	0	Each	Furry gorilla with big eyes slippers (Black) XL		
9007:Permanent marker red 5mm nib (Red) 5mm	24/06/2013 00:00	9007	24	2.7	15	9.72	24	74.52	24	0	Each	Permanent marker red 5mm nib (Red) 5mm		
"9008:""The Gu"" red shirt XML tag t-shirt (White) M"	25/06/2013 00:00	9008	84	18	15	226.8	924	1738.8	84	0	Each	"""The Gu"" red shirt XML tag t-shirt (White) M"		
9009:Black and orange glass with care despatch tape 48mmx75m	25/06/2013 00:00	9009	96	3.7	15	53.28	201.6	408.48	96	0	Each	Black and orange glass with care despatch tape 48mmx75m		
"9010:""The Gu"" red shirt XML tag t-shirt (White) XS"	25/06/2013 00:00	9010	48	18	15	129.6	528	993.6	48	0	Each	"""The Gu"" red shirt XML tag t-shirt (White) XS"		
"9011:""The Gu"" red shirt XML tag t-shirt (Black) 4XL"	25/06/2013 00:00	9011	24	18	15	64.8	240	496.8	24	0	Each	"""The Gu"" red shirt XML tag t-shirt (Black) 4XL"		
"9012:""The Gu"" red shirt XML tag t-shirt (Black) 5XL"	25/06/2013 00:00	9012	120	18	15	324	1200	2484	120	0	Each	"""The Gu"" red shirt XML tag t-shirt (Black) 5XL"		
9012:Red and white urgent despatch tape 48mmx75m	25/06/2013 00:00	9012	120	3.7	15	66.6	252	510.6	120	0	Each	Red and white urgent despatch tape 48mmx75m		
9013:20 mm Double sided bubble wrap 10m	25/06/2013 00:00	9013	60	18	15	162	600	1242	60	0	Each	20 mm Double sided bubble wrap 10m		
9013:Alien officer hoodie (Black) 4XL	25/06/2013 00:00	9013	2	35	15	10.5	36	80.5	2	0	Each	Alien officer hoodie (Black) 4XL		
9013:Animal with big feet slippers (Brown) L	25/06/2013 00:00	9013	7	32	15	33.6	168	257.6	7	0	Each	Animal with big feet slippers (Brown) L		
9013:Developer joke mug - old C developers never die (White)	25/06/2013 00:00	9013	7	13	15	13.65	59.5	104.65	7	0	Each	Developer joke cup - old C developers never die (White)		
9014:20 mm Anti static bubble wrap (Blue) 20m	25/06/2013 00:00	9014	90	45	15	607.5	2160	4657.5	90	0	Each	20 mm Anti static bubble wrap (Blue) 20m		
9014:Developer joke mug - Oct 31 = Dec 25 (White)	25/06/2013 00:00	9014	3	13	15	5.85	25.5	44.85	3	0	Each	Developer joke cup - Oct 31 = Dec 25 (White)		
9014:Pack of 12 action figures (male)	25/06/2013 00:00	9014	10	16	15	24	105	184	10	0	Packet	Pack of 12 action figures (male)		
"9015:""The Gu"" red shirt XML tag t-shirt (Black) 3XS"	25/06/2013 00:00	9015	120	18	15	324	1320	2484	120	0	Each	"""The Gu"" red shirt XML tag t-shirt (Black) 3XS"		
"9015:""The Gu"" red shirt XML tag t-shirt (White) XXS"	25/06/2013 00:00	9015	24	18	15	64.8	264	496.8	24	0	Each	"""The Gu"" red shirt XML tag t-shirt (White) XXS"		
9015:Black and yellow heavy despatch tape  48mmx75m	25/06/2013 00:00	9015	192	3.7	15	106.56	422.4	816.96	192	0	Each	Black and yellow heavy despatch tape  48mmx75m		
9015:DBA joke mug - I will get you in order (Black)	25/06/2013 00:00	9015	10	13	15	19.5	85	149.5	10	0	Each	DBA joke cup - I will get you in order (Black)		
9015:Ride on big wheel monster truck (Black) 1/12 scale	25/06/2013 00:00	9015	8	345	15	414	1120	3174	8	0	Each	Ride on big wheel monster truck (Black) 1/12 scale		
9016:Halloween zombie mask (Light Brown) S	25/06/2013 00:00	9016	96	18	15	259.2	-96	1987.2	96	0	Each	Halloween zombie mask (Light Brown) S		
9016:Superhero action jacket (Blue) M	25/06/2013 00:00	9016	1	30	15	4.5	8	34.5	1	0	Each	Superhero action jacket (Blue) M		
9016:USB food flash drive - dessert 10 drive variety pack	25/06/2013 00:00	9016	5	240	15	180	757.5	1380	5	0	Packet	USB food flash drive - dessert 10 drive variety pack		
9017:Black and orange handle with care despatch tape  48mmx75m	25/06/2013 00:00	9017	120	3.7	15	66.6	288	510.6	120	0	Each	Black and orange handle with care despatch tape  48mmx75m		
9017:Black and orange this way up despatch tape 48mmx75m	25/06/2013 00:00	9017	216	3.7	15	119.88	432	919.08	216	0	Each	Black and orange this way up despatch tape 48mmx75m		
9017:RC vintage American toy coupe with remote control (Black) 1/50 scale	25/06/2013 00:00	9017	3	30	15	13.5	45	103.5	3	0	Each	RC vintage American toy coupe with remote control (Black) 1/50 scale		
9017:Shipping carton (Brown) 356x356x279mm	25/06/2013 00:00	9017	125	2.04	15	38.25	123.75	293.25	125	0	Each	Shipping carton (Brown) 356x356x279mm		
"9018:""The Gu"" red shirt XML tag t-shirt (Black) 6XL"	25/06/2013 00:00	9018	60	18	15	162	600	1242	60	0	Each	"""The Gu"" red shirt XML tag t-shirt (Black) 6XL"		
9018:IT joke mug - hardware: part of the computer that can be kicked (Black)	25/06/2013 00:00	9018	7	13	15	13.65	59.5	104.65	7	0	Each	IT joke cup - hardware: part of the computer that can be kicked (Black)		
9018:USB missile launcher (Green)	25/06/2013 00:00	9018	6	25	15	22.5	93	172.5	6	0	Each	USB missile launcher (Green)		
9018:Void fill 400 L bag (White) 400L	25/06/2013 00:00	9018	70	50	15	525	1680	4025	70	0	Each	Void fill 400 L bag (White) 400L		
9019:32 mm Anti static bubble wrap (Blue) 20m	25/06/2013 00:00	9019	70	48	15	504	1750	3864	70	0	Each	32 mm Anti static bubble wrap (Blue) 20m		
9019:Superhero action jacket (Blue) M	25/06/2013 00:00	9019	4	30	15	18	32	138	4	0	Each	Superhero action jacket (Blue) M		
9020:Superhero action jacket (Blue) 3XS	25/06/2013 00:00	9020	5	25	15	18.75	30	143.75	5	0	Each	Superhero action jacket (Blue) 3XS		
9020:USB food flash drive - shrimp cocktail	25/06/2013 00:00	9020	7	32	15	33.6	140	257.6	7	0	Each	USB food flash drive - shrimp cocktail		
"9021:""The Gu"" red shirt XML tag t-shirt (White) 3XL"	25/06/2013 00:00	9021	24	18	15	64.8	240	496.8	24	0	Each	"""The Gu"" red shirt XML tag t-shirt (White) 3XL"		
9021:Clear packaging tape 48mmx75m	25/06/2013 00:00	9021	78	2.9	15	33.93	93.6	260.13	78	0	Each	Clear packaging tape 48mmx75m		
9021:Developer joke mug - old C developers never die (White)	25/06/2013 00:00	9021	2	13	15	3.9	17	29.9	2	0	Each	Developer joke cup - old C developers never die (White)		
9021:RC big wheel monster truck with remote control (Black) 1/50 scale	25/06/2013 00:00	9021	10	45	15	67.5	295	517.5	10	0	Each	RC big wheel monster truck with remote control (Black) 1/50 scale		
9022:IT joke mug - hardware: part of the computer that can be kicked (White)	25/06/2013 00:00	9022	7	13	15	13.65	59.5	104.65	7	0	Each	IT joke cup - hardware: part of the computer that can be kicked (White)		
9022:RC toy sedan car with remote control (Pink) 1/50 scale	25/06/2013 00:00	9022	8	25	15	30	100	230	8	0	Each	RC toy sedan car with remote control (Pink) 1/50 scale		
9022:RC toy sedan car with remote control (Yellow) 1/50 scale	25/06/2013 00:00	9022	9	25	15	33.75	112.5	258.75	9	0	Each	RC toy sedan car with remote control (Yellow) 1/50 scale		
9022:Superhero action jacket (Blue) XXS	25/06/2013 00:00	9022	6	25	15	22.5	36	172.5	6	0	Each	Superhero action jacket (Blue) XXS		
9023:32 mm Double sided bubble wrap 10m	25/06/2013 00:00	9023	80	22	15	264	968	2024	80	0	Each	32 mm Double sided bubble wrap 10m		
9023:Air cushion machine (Blue)	25/06/2013 00:00	9023	6	1899	15	1709.1	4554	13103.1	6	0	Each	Air cushion machine (Blue)		
9023:USB food flash drive - dim sum 10 drive variety pack	25/06/2013 00:00	9023	1	240	15	36	151.5	276	1	0	Packet	USB food flash drive - dim sum 10 drive variety pack		
"9024:""The Gu"" red shirt XML tag t-shirt (Black) 5XL"	25/06/2013 00:00	9024	12	18	15	32.4	120	248.4	12	0	Each	"""The Gu"" red shirt XML tag t-shirt (Black) 5XL"		
9024:RC toy sedan car with remote control (Green) 1/50 scale	25/06/2013 00:00	9024	6	25	15	22.5	75	172.5	6	0	Each	RC toy sedan car with remote control (Green) 1/50 scale		
"9025:""The Gu"" red shirt XML tag t-shirt (White) 3XS"	25/06/2013 00:00	9025	48	18	15	129.6	528	993.6	48	0	Each	"""The Gu"" red shirt XML tag t-shirt (White) 3XS"		
9025:Ride on toy sedan car (Black) 1/12 scale	25/06/2013 00:00	9025	7	230	15	241.5	595	1851.5	7	0	Each	Ride on toy sedan car (Black) 1/12 scale		
9025:Shipping carton (Brown) 305x305x305mm	25/06/2013 00:00	9025	175	3.5	15	91.88	280	704.38	175	0	Each	Shipping carton (Brown) 305x305x305mm		
